epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,477.117,1.44776,3.02476,1.19628,0.54995,0.14487,0.22662,0.13071,1.44071,3.17726,1.24267,0.000413625,0.000413625,0.000413625
2,875.348,1.51305,2.35504,1.2913,0.48901,0.37911,0.35403,0.19406,1.5303,2.28118,1.31592,0.000748093,0.000748093,0.000748093
3,1276.18,1.53122,2.12226,1.29912,0.42436,0.39418,0.31741,0.17523,1.51017,2.4,1.28785,0.00100006,0.00100006,0.00100006
4,1681.48,1.479,1.85131,1.27757,0.57857,0.41099,0.44714,0.26331,1.40347,1.77236,1.24668,0.00087875,0.00087875,0.00087875
5,2082.22,1.43145,1.66589,1.22467,0.60356,0.48285,0.50938,0.30492,1.36632,1.62472,1.21763,0.000755,0.000755,0.000755
6,2481.91,1.36617,1.51855,1.19992,0.57577,0.47626,0.49867,0.29304,1.37076,1.66431,1.19761,0.00063125,0.00063125,0.00063125
7,2895.39,1.33132,1.39667,1.17492,0.66437,0.53859,0.59429,0.36463,1.27991,1.39901,1.14245,0.0005075,0.0005075,0.0005075
8,3304.54,1.26514,1.29218,1.13128,0.68624,0.54141,0.59909,0.37713,1.21833,1.30351,1.1203,0.00038375,0.00038375,0.00038375
9,3710.55,1.21856,1.21039,1.10781,0.68279,0.55438,0.61218,0.38559,1.20001,1.30398,1.11557,0.00026,0.00026,0.00026
10,4109.18,1.18328,1.14124,1.09209,0.67625,0.60474,0.64323,0.40685,1.1842,1.19903,1.10095,0.00013625,0.00013625,0.00013625
