epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,547.787,1.39085,2.72262,1.17686,0.54792,0.3074,0.37138,0.22069,1.33987,2.52434,1.14234,0.000413625,0.000413625,0.000413625
2,915.363,1.43416,1.99434,1.20471,0.53969,0.3836,0.40377,0.23073,1.39377,2.2226,1.20548,0.000813852,0.000813852,0.000813852
3,1283.68,1.47154,1.91813,1.23632,0.47193,0.3926,0.39058,0.21893,1.44732,2.01849,1.26619,0.00119758,0.00119758,0.00119758
4,1656.33,1.46908,1.82526,1.23087,0.49255,0.43184,0.42142,0.2416,1.43743,1.91825,1.24428,0.00117575,0.00117575,0.00117575
5,2026.58,1.42362,1.61484,1.21397,0.52668,0.46901,0.45169,0.25875,1.43399,1.77254,1.23263,0.001151,0.001151,0.001151
6,2398.96,1.38697,1.5554,1.19297,0.6036,0.48879,0.50913,0.29825,1.35672,1.56561,1.17608,0.00112625,0.00112625,0.00112625
7,2771.47,1.36489,1.45823,1.18047,0.51982,0.49789,0.49803,0.29007,1.36,1.57101,1.16089,0.0011015,0.0011015,0.0011015
8,3143.9,1.34817,1.39236,1.1597,0.55189,0.50074,0.50932,0.31499,1.28428,1.45052,1.14147,0.00107675,0.00107675,0.00107675
9,3516.25,1.34391,1.373,1.15618,0.59393,0.50316,0.53048,0.32127,1.32963,1.49793,1.15644,0.001052,0.001052,0.001052
10,3886.1,1.31687,1.34152,1.15042,0.66137,0.50733,0.56234,0.33792,1.30668,1.41694,1.15717,0.00102725,0.00102725,0.00102725
11,4257.61,1.28944,1.26832,1.13637,0.60542,0.51253,0.54865,0.34025,1.28008,1.41063,1.13251,0.0010025,0.0010025,0.0010025
12,4632.02,1.276,1.25354,1.12968,0.65152,0.50963,0.56659,0.34874,1.28592,1.37161,1.1361,0.00097775,0.00097775,0.00097775
13,5007.85,1.2731,1.23777,1.11904,0.62903,0.55061,0.59114,0.3571,1.25752,1.31084,1.12197,0.000953,0.000953,0.000953
14,5381.48,1.25585,1.20933,1.12029,0.64212,0.54609,0.59541,0.37088,1.21726,1.27191,1.10671,0.00092825,0.00092825,0.00092825
15,5756.92,1.24595,1.19644,1.11124,0.69328,0.5349,0.59858,0.37242,1.2335,1.2954,1.10959,0.0009035,0.0009035,0.0009035
16,6131.18,1.23271,1.15016,1.09696,0.64809,0.50257,0.56939,0.35576,1.25791,1.39624,1.11549,0.00087875,0.00087875,0.00087875
17,6503.89,1.22714,1.14369,1.10238,0.64091,0.5498,0.58362,0.36863,1.22109,1.31614,1.11565,0.000854,0.000854,0.000854
18,6877.67,1.201,1.10713,1.09059,0.69268,0.55903,0.62679,0.39348,1.21915,1.25059,1.0881,0.00082925,0.00082925,0.00082925
19,7255.39,1.17748,1.08599,1.07938,0.6871,0.57154,0.62057,0.39721,1.19125,1.17095,1.09026,0.0008045,0.0008045,0.0008045
20,7630.48,1.16072,1.07601,1.07827,0.67997,0.58064,0.6283,0.40294,1.183,1.1425,1.08067,0.00077975,0.00077975,0.00077975
21,8003.03,1.18969,1.07831,1.07711,0.68636,0.59523,0.6483,0.41651,1.2,1.09035,1.08733,0.000755,0.000755,0.000755
22,8377.39,1.18088,1.05423,1.07913,0.6791,0.58919,0.64491,0.40661,1.17646,1.12102,1.07746,0.00073025,0.00073025,0.00073025
